,smiles,pref_name,id_24,id_25,id_26,id_27,scomp_id
14211,CCCCCCCCCCCCCCC(=O)OC1CCCCC1,CYCLOHEXYL PENTADECANOATE,598647,598647,598647,598647,14211
14212,CCCCCCCCCCCCCCC(=O)OC1CCC1,CYCLOBUTYL PENTADECANOATE,598648,598648,598648,598648,14212
14213,CCCCCCCCCCCCCCCCC(=O)OC1CCCC1,CYCLOPENTYL HEPTADECANOATE,598709,598709,598709,598709,14213
14214,CCCCCCCCCCCCCCCCC(=O)OC1CCCCC1,CYCLOHEXYL HEPTADECANOATE,598710,598710,598710,598710,14214
14215,CCCCCCCCCCCCCCCCC(=O)OC1CCC1,CYCLOBUTYL HEPTADECANOATE,598711,598711,598711,598711,14215
14216,CCCCCCCCCCCCS(=O)(=O)OC[C@H]1OC(O)[C@H](OP(=O)(O)O)[C@@H](O)[C@@H]1OP(=O)(O)O,,598753,598753,598753,598753,14216
14217,CCCCCCCCCCCCCCCCOC(=O)Nc1ccc(OC)cc1,,598773,598773,598773,598773,14217
14218,CC(C)c1ccc(O)c(CC[C@@H]2[C@@](C)(O)CCC[C@@]2(C)C(=O)O)c1,ABIESADINE B,598986,598986,598986,598986,14218
14219,CCCCC#Cc1nc(N)c2ncn([C@@H]3C[C@H](NC(=O)CC)[C@@H](O)[C@H]3O)c2n1,,599097,599097,599097,599097,14219
14220,CCOC(=O)c1cc(COc2ccc3ccccc3n2)on1,,599201,599201,599201,599201,14220
14221,CCOC(=O)c1cc(COc2cccc3ncccc23)on1,,599202,599202,599202,599202,14221
14222,CCOC(=O)c1cc(COc2ccc3cccnc3c2)on1,,599203,599203,599203,599203,14222
14223,CCOC(=O)c1cc(COc2cccc3cccnc23)on1,,599204,599204,599204,599204,14223
14224,CCOC(=O)c1cc(COc2ccc3cc[nH]c3c2)on1,,599262,599262,599262,599262,14224
14225,CC(C)C1=CC2=CC[C@H]3[C@](C)(COC(=O)CCC(=O)O)CCC[C@]3(C)[C@H]2CC1,,599482,599482,599482,599482,14225
14226,CCCCCCCCCCCCCCCC(=O)Nc1ccc(OC)cc1,,599489,599489,599489,599489,14226
14227,CCCCCCCCCCCCCCCC(=O)NCCc1ccc(OC)cc1,,599557,599557,599557,599557,14227
14228,CCCCCCCCCCCCCCCC(=O)NCCc1cc(OC)cc(OC)c1,,599558,599558,599558,599558,14228
14229,CCCCCCCCCCCCCCCC(=O)NC1CCN(Cc2ccccc2)CC1,,599652,599652,599652,599652,14229
14230,CCCCCCCCCCCCCCCCNC(=O)C1CCCC1,,599655,599655,599655,599655,14230
14231,O=C1CCC(N2C(=O)c3cccc(C#Cc4ccccc4)c3C2=O)C(=O)N1,,599868,599868,599868,599868,14231
14232,CCCCOc1ccc(NC(=O)ON=C(C)C)cc1OC,,599879,599879,599879,599879,14232
14233,CCCCOc1cccc(NC(=O)ON=C(C)C)c1,,599880,599880,599880,599880,14233
14234,CCCCOc1ccc(CNC(=O)ON=C(C)C)cc1,,599881,599881,599881,599881,14234
14235,CCCCCCOc1ccc(NC(=O)Oc2ccccc2)cc1,,599960,599960,599960,599960,14235
14236,CCCCCCCOc1ccc(NC(=O)Oc2ccccc2)cc1,,599961,599961,599961,599961,14236
14237,CCCCCCCCOc1ccc(NC(=O)Oc2ccccc2)cc1,,599962,599962,599962,599962,14237
14238,CCCCCCCCCCOc1ccc(NC(=O)Oc2ccccc2)cc1,,600033,600033,600033,600033,14238
14239,CCCCCCCCCCCCOc1ccc(NC(=O)Oc2ccccc2)cc1,,600034,600034,600034,600034,14239
14240,CCCCCCOc1ccc(NC(=O)Oc2ccccc2F)cc1,,600035,600035,600035,600035,14240
